08月28日 20:40	YANZiKAii	妈的怎么全是昆山海龙哥？佛了 ​
08月31日 08:15	不成熟的老k	昆山龙哥让我学到点东西。1不要欺负别人，得饶人处且饶人。2武功再高也怕菜刀。3如果躲不开了，就不要躲了，奋力反击一下，谁输谁赢也不一定。 ​
08月31日 08:15	马鞍山反邪教	【北京#检察官解析昆山反杀案#： 电动车主可能构成特殊正当防卫】针对昆山“龙哥”#追砍电动车主遭反杀#案件，北京市通州区人民检察院刘志宇检察官认为， 电动车主的行为具备成立正当防卫的条件，尤其是紧迫性和必要性条件，宜认定为正当防卫。电动车车主面对素不相识的宝马车主突如其来的持刀挥 ​ 展开全文c
08月31日 08:14	老农41	如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ 我们是中国，中国公民在中国的一切行为必须遵照中国的法律。骑车人没有触犯法律，没有防卫过当，是自卫的楷模、除恶的英雄！ O如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ ​
08月31日 08:13	快乐金帛	【成都私家车撞上出租 咋个赔 当街猜拳+剪刀石头布】近日，昆山“龙哥”追砍电动车主遭反杀的新闻引发网络热议。成都也发生两车擦挂的事情，不过两司机却因猜拳“火”了。29日下午，成都科华中路和长荣路路口，一辆私家车与出租车发生擦挂，出租车司机要求赔偿700元，私家车主提 ​ 展开全文c
08月31日 08:13	深娱	【如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？】无论是媒体时评，还是自媒体文章、网友热评，都不可避免地援引国外案例来佐证立场。不过，即使在“自我防卫正当性”尺度最为宽松的美国，对于“正当防卫”法律边界的探究也并非一锤定音。那么，如果龙哥在美国街[...] O如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ ​
08月31日 08:13	用户6638707590	昆山龙哥反杀事件，不管是否防卫过当，都是小人物的悲愤和无力老袁微观察·昨天网上传的纷纷扰扰的昆山龙哥反杀事件已经引起了社会的高度关注，其实事情过程不复杂：起因是男子在酒后驾驶宝马在驶入非机动车道时，与一名电动车主发生了争执，最终由争执演变成了动手，与最后的宝马男子持刀伤人，不过 ​ 展开全文c
08月31日 08:13	LIJANGHUA	在昆山街头，出现了危险的一幕：在30多年生涯中有近10年因为违法犯罪待在监狱里的刘海龙，拿着刀追着砍杀一个普通工人。一切处于危急中……忽然，或许因为行凶者业务疏松，或许因为上苍有眼，行凶者的手抖了一下，刀落在地上。一下子剧情发生了反转：那位电工兄弟在与歹徒抢时间中占据主动，他捡起刀 ​ 展开全文c
08月31日 08:11	心念已沉淀	//分享网易新闻:《媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样》 O媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样 @网易新闻客户端 #网易新闻# ​
08月31日 08:09	喜欢吃辣被迫少吃的大胃辛酸	早上Bixby闹铃响的时候，一条新闻瞬间让我清醒了不少，法官：法律不会强人所难，昆山砍人被反杀案判正当防卫#昆山龙哥被反杀# 2南京 ​
08月31日 08:09	宜宾张胡子	新华社重新定调：如构成特殊防卫，则无需负刑事责任——昆山龙哥案恐现重大转机！↘︎点击下角“网页链接”查看全文和真相↘︎O网页链接 L宜宾张胡子的微博视频 ​
08月31日 08:08	教书人语	发表了博文《刘海龙获得见义勇为奖励，并非不能接受》刘海龙获得见义勇为奖励，并非不能接受昆山事件发生之后，许多人针对刘海龙的见义勇为奖励多有质疑。我的意见是，有的时候，警方为了特殊需要，不得不找一些流氓O刘海龙获得见义勇为奖励，并非不能接受 ​
08月31日 08:07	遂川政法	#昆山“反杀”事件现场：白衣男一直握着刀 警察来才松手# 【昆山“反杀”事件现场：白衣男一直握着刀 警察来才松手】　被害人名叫刘海龙，1982年出生，此前曾多次因抢劫盗窃敲诈等罪获刑，后在江苏昆山经营一家典当行，周围邻居称：“我们做生意跟这种人不打交道的。”网页链接：O网页链接 ​ 展开全文c
08月31日 08:07	微笑的童话	我发表了头条文章:《如何让昆山龙哥死得有价值？中国式法治需要根本性改革！》 O网页链接 ​
08月31日 08:06	柏斯小胖	绝对正当防卫 //分享网易新闻:《媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样》 O媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样 @网易新闻客户端 #网易新闻# ​
08月31日 08:05	高高耀	分享网易新闻 《媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样》O媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样 来自@网易新闻客户端 #网易新闻# ​
08月31日 08:05	小蘑菇Leos	昆山龙哥事件，专业社会人解读:一般黑社会大哥砍人，都是砍你两刀，然后假装刀脱手，漫不经心地去捡刀，意思是，兄弟我不想摊上大事，你识相就趁我捡刀的功夫赶紧跑，放心哥不追你，你认怂了人还没事哥也有面子，可能是行业文化差异引起的误会，不懂大哥的套路，抢先一步捡起刀就反杀！隔行如隔山啊！ ​ 展开全文c
08月31日 08:01	帅的你呆了	#宝马车砍人被反杀##人性进化论–帅帅和你看地球# “昆山龙哥”在监狱十年，结果是更恶了。为什么监狱不设计成香港两平米的“鸽子笼”，防止犯罪分子传授犯罪经验，而现在还沿用混杂关押 ​
08月31日 08:00	用户6461329481	《回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！》龙哥今年36岁，由于我的算术能力不太好，我他妈推算了半天才想明白他应该是1982年生人。O网页链接 ​
08月31日 10:59	郎务你	如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ O如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ ​
08月31日 10:58	六军地主	从座霸到昆山龙哥的感慨 当你读书的时候，碰到校园暴力敲诈勒索你不能反抗，反抗就是打架斗殴，等着记过处分吧 当你工作了，你在上班的路上碰到飞车抢劫不能反抗，因为在你追逐飞车贼的时候万一飞车贼车祸死了 ……O网页链接 ​
08月31日 10:57	王照伦	美版“昆山龙哥”恐吓遭反杀 警方认定射杀者正当防卫（来自：@东方头条） O美版“昆山龙哥”恐吓遭反杀 警方认定射杀者正当防卫 ​
08月31日 10:57	期货配资股票配资-lever7777	昆山龙哥像一把利刀，撕开了社会的蒙皮，让人看到了这样的现实，一个老实做人的中年人骑着电动车，被人欺负；一个进了5次监狱的人，却能开着宝马车，朋友吆五喝六，喝酒吃肉，美女相伴。 我看到的最好的一个评论 ​
08月31日 10:56	股市短线成功者的预判	如果昆山的龙哥当初选择在成都混，估计不会死…今天下午，成都奔驰车撞了出租车，出租车索要700修车费，而奔驰车主只愿出500，最后划拳决定，结果出租车赢了，获赔700。 这才是和谐社会，也是我爱上成都的理由！😜 L股市短线成功者的预判的微博视频 ​
08月31日 10:56	良心从容	昆山龙哥的灭亡，瞬间点燃了网络，弱势群体的力量，淹没了警方和检方。对这件事每个人都有自己的看法，经过近日的观察，我找到了正义找到了社会前进的方向。龙哥一个黑社会分子为非作歹祸害一方，让我第一个想起了《水浒传》里的那个桥段：杨志卖刀都杀泼皮牛二，那是何等的畅快及大快人心，所谓的”龙 ​ 展开全文c
08月31日 10:56	新京报	【#高铁霸座男笑坐轮椅# 还喊“龙哥”推车 网友：无耻新高度！】有网友爆料，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“龙哥”给他推车，还提及了滴滴。网友：无耻！又出来作妖，还是罚太少了！O网页链接 （凤凰网） ​
08月31日 10:55	一直在注意	发表了博文《昆山黑恶男反杀事件持续发酵，骑车男命运备受关注(转自网络）》司马迁说过，人总是要死的，有的人死了，重于泰山，有的人死了，轻于鸿毛。但社会龙哥的死，还是太戏剧性了。成了这两天网络的一个热点。O昆山黑恶男反杀事件持续发酵，骑车男命运备受关注(转自网络） ​
08月31日 10:54	河南交通广播	【高铁霸座男真坐轮椅还喊“龙哥”推车 网友：无耻新高度！】网曝，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“龙哥”给他推车，还提及了滴滴。网友：无耻！又出来作妖，还是罚太少了！O网页链接 ​
08月31日 10:53	蔬茗菌	#昆山龙哥# 死者为大，一定要让他火起来。 ​
08月31日 10:52	无眠-李	发表了博文《是否应当授予“昆山龙哥终结者”见义勇为英雄奖》在全国打黑除恶的形势下，说明我国的民间“黑恶”势力甚为猖獗，黑恶势力严重威胁人民的生命财产安全，与人民的日常生活息息相关。为什么总是隔几年都会O是否应当授予“昆山龙哥终结者”见义勇为英雄奖 ​
08月31日 10:52	小虫o_o	昆山龙哥被白衣哥反杀一案，引起社会高度关注和热议，究竟是正当防卫？还是防卫过当？抑或是故意伤害？☞☞①反杀细节。②中国政法大学教授罗翔介绍，1997年浙江叶永朝杀两人，不负刑责，正当防卫。 ​
08月31日 10:51	燕赵都市报	【高铁霸座男真坐轮椅还喊“龙哥”推车 网友：无耻新高度！】网曝，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“龙哥”给他推车，还提及了滴滴。网友：无耻！又出来作妖，还是罚太少了！#霸座男坐轮椅录视频# O网页链接 ​
08月31日 10:49	嘴角上揚读不出的漃寞	8月27日晚，江苏省昆山市发生一起宝马司机持刀追砍自行车车主反被砍身亡的刑事案件，引起社会广泛关注。28日18时许，昆山市公安局发通报，宝马车内一男子与骑电动车男子因交通问题发生口角，继而升级为持刀伤害，致使“宝马男”最终死亡。“持刀伤人反被杀”的刘海龙也被媒... O网页链接 ​
08月31日 10:49	纸不醉金却迷	发布了头条文章：《昆山龙哥被反杀？奔驰车主与出租车司机发生刮擦 两人街头划拳定责》 O昆山龙哥被反杀？奔驰车主与出租车司机发生刮擦 两人街头划拳定责 ​
08月31日 10:48	SYTYSYYAN	《昆山龙哥成功标配“宝马配宝刀，行走江湖心不慌”可结局悲催了！》这么多年来，龙哥从一个一事无成的小窃贼混成现在的一方恶霸，在昆山这地方谁不忌惮龙哥的威名。O网页链接 ​
08月31日 10:48	再别康桥in上海	电动车叫于海明，宝马车叫刘海龙，都有海，大水冲了龙王庙啊#昆山龙哥# ​
08月31日 10:48	成都牙尖帮	【昆山案骑车男家人接受采访】捡刀反抗龙哥的骑车男家里原来这么恼火父亲去世，儿子得癌症，他本人做工挣钱经常不休息。有网友说，一开始骑车男不还手是因为不想惹事，不愿影响第二天挣钱，后来还手是因为他不敢死，因为如果他死了儿子也就没人管了。骑车男还手，到底算不算正当防卫？ ​ 展开全文c
08月31日 10:47	桃园金龙2018	我发表了头条文章:《昆山龙哥的死》 O昆山龙哥的死 2桐城 · 龙腾街区 ​
08月31日 10:47	李劲鸿Fighting	#昆山龙哥# 网络人才济济，这图做的也是没谁了#高铁座霸真实身份# ​
08月31日 10:46	就是昊先生	#昆山龙哥# 龙哥暴打城管视频流出 O网页链接 ​
08月31日 10:46	一手财经666	昆山龙哥，全名刘海龙，1982年生人，先后五次进过局子，盗窃、敲诈、干架、 砸店，什么坏事都干过，今天被我们调侃了半天。在去吃饭的路上，我突然想到，就这么一个烂人，过去的18年里有一半时间都在监狱里，都还能开着辆宝马四处去浪，骑着共享单车的我当场眼泪就掉下来了。 ​
08月31日 10:45	宁德房产	龙哥的终结者，其家境情况也受到了极大的关注。家人谈昆山案骑车男，让大家对于海明的家境有了更多的了解。父亲年初去世，大儿子患癌需要钱，常年打工不敢休息，其姐夫说：那把刀要是不掉到地上，他估计就没命了。对这种安分守己的人，老天还算有点公道 。L一手video的秒拍视频 L一手video的秒拍视频 ​ 展开全文c
08月31日 10:44	肝病专家黄主任	发布了头条文章：《昆山“龙哥”被反杀案引人深思：怒伤肝，不要再为小事发怒了！》 O昆山“龙哥”被反杀案引人深思：怒伤肝，不要再为小事发怒了！ ​
08月31日 10:43	用户6591105889	昆山龙哥这个事件我只想说，以此为例，我希望这辈子都不想遇到龙哥这样的人，如果真倒霉还是被碰到了，不要纠葛不然会被砍，不还手被砍死还手要坐牢，(在我眼里没有什么正当防卫这个概念)最好丢了电瓶车跑吧！还要平时锻炼身体～不然没力气跑不远～电瓶车才两千多，细想一下你们觉得怎么样？电瓶车主人 ​ 展开全文c
08月31日 10:43	你信不信我这串名字刚好十五个字	#追砍电动车主遭反杀##昆山龙哥# 讲道理，天朝自认礼仪之邦，又信奉“秩序”一说，可是又因“关系”一词而腐败不堪。这次我们来说说“顺序”，首先，宝马车压实线进入自行车道撞了自行车，而自行车正常行驶并不知情宝马车的变道行为，其次宝马车的人明明无理且又无礼的推搡骂人，然后宝马车主拿长刀出 ​ 展开全文c
08月31日 10:43	洛杉矶正协	通过滴滴顺风车事件我们知道了顺从不能增加逃生机会，通过昆山龙哥反杀事件我们知道了反抗可能增加坐牢机会。 正确的做法是，人家刀脱手了，你捡到了，再递给人家就是了，记得双手！ ​
08月31日 10:42	华韵国学教育	【昆山龙哥案件引舆论关注正当防卫 江苏检察在线：得靠逃跑】近日，昆山宝马男被反杀视频窜红互联网，引舆论关注正当防卫。昆山宝马男拿刀被反杀始末案件发生于昆三市震川路与顺帆路交叉的十字路口。一辆宝马在红灯时压过机动车道...O网页链接 ​
08月31日 10:42	信息时报	【#高铁霸座男笑坐轮椅# 还喊“龙哥”推车 网友：无耻新高度！】有网友爆料，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“龙哥”给他推车，还提及了滴滴。网友：无耻！又出来作妖，还是罚太少了！O网页链接 via凤凰 ​ 展开全文c
08月31日 10:42	法制网	【#高铁霸座男笑坐轮椅# 还喊“龙哥”推车 网友：无耻新高度！】有网友爆料，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“龙哥”给他推车，还提及了滴滴。网友：无耻！又出来作妖，还是罚太少了！ O网页链接 ​​​ vi ​ 展开全文c
08月31日 10:41	br44868	“昆山龙哥被夺刀反杀”大快人心！如果是相反的结果，叫人们如何承受？如果现场有警察，当他看到龙哥操刀杀人时，会怎么做？如果警察当场把犯罪分子毙了，难道也算犯罪吗？由此推而广之，电动车主应该被封为见义勇为的英雄！ ​
08月31日 10:40	晁谷	#昆山龙哥# “倚天屠龙记”——听说老百姓是天…… ​
08月31日 10:40	北京大力神	其他国家的先进经验和判决，应该引进和吸收！如果再凉了大众的心，那以后整个社会就会更加沉沦了！好人不敢做，好事不敢当，长此以往，不可想象！ 如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ O如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ ​
08月31日 10:40	环球网	【#高铁霸座男笑坐轮椅# 还喊“龙哥”推车 网友：无耻新高度！】有网友爆料，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“龙哥”给他推车，还提及了滴滴。网友：无耻！又出来作妖，还是罚太少了！ O网页链接 ​​​ vi ​ 展开全文c
08月31日 10:39	安娜201203	#腾讯新闻# 如果“昆山龙哥被夺刀反杀”发生在美国 事件走向如何？O如果“昆山龙哥被夺刀反杀”发生在美国 事件走向如何？ 来自@腾讯新闻客户端 ​
08月31日 10:38	潇彧	如果昆山的龙哥当初选择在成都混，估计不会死…昨天下午，成都奔驰车撞了出租车，出租车索要700修车费，而奔驰车主只愿出500，最后划拳决定，结果出租车赢了，获赔700。 这才是和谐社会！ 2宿州 L潇彧的微博视频 ​
08月31日 10:36	看一点	【高铁霸座男真“瘫”了 坐轮椅喊龙哥推车 还感谢滴滴】自称“站不起来”需要轮椅的霸座男十天后又出来作妖！前脚道歉悔改，后脚录视频挑衅网友。他赤裸上身坐在“轮椅”上，指名让昆山“龙哥”给他推车，甚至说要“感谢滴滴”.... O网页链接 ​
08月31日 10:35	br44868	“昆山龙哥被夺刀反杀”大快人心！如果是相反的结果，叫人们如何承受？如果作者是警察，在看到龙哥操刀杀人时，你会怎么做？如果警察当场把犯罪分子毙了，难道也算犯罪吗？电动车主应该被封为见义勇为的英雄！ ​
08月31日 10:34	郁浪狂骇	O网页链接 昆山 龙哥 白衣男 正当防卫。前年的事，华裔女性击毙入室抢劫犯（注意不是入室杀人），致一死二伤，最后被判了正当防卫，无罪。美国的空气香甜不香甜我算是闻不到了 ​
08月31日 10:34	罗笑我666	发布了头条文章：《在劫难逃的昆山龙哥终结者——白衣侠客于哥》 @新语丝之光001 O在劫难逃的昆山龙哥终结者——白衣侠客于哥 ​
08月31日 10:33	宁波的书虫	【步韵老朽木子诗兄之《闻昆山纹身龙哥杀人被杀案》】恃强自有更强逢，懂得回旋路便通。蛮力不能欺弱势，昏天也会放明瞳。拿刀反死于刀下，弄舌常伤在舌中。吵架还须讲成本，蝇头小事莫争雄。2018.08.31.10:10〔附〕老朽木子《闻昆山纹身龙哥杀人被杀案》冤家何处不相逢，狭路终难得变通。宝 ​ 展开全文c
08月31日 10:33	路博加取暖桌	发表了博文《如果可以，路博加想给你所有温暖》几日前的昆山反杀案，引起了许多的热议。昆山龙哥死后成名，但更多的人还是更加关注反杀他的于某某的判罚。关于于某某反杀的反击的定性一直难以确定，但在网上，百分之O如果可以，路博加想给你所有温暖 ​
08月31日 10:32	泗州生活网	据说昆山龙哥被打死的原因，一切以警方调查结果为准 2宿州 · 泗城镇 ​
08月31日 10:32	文得心	龙哥不知何许人也，亦不详其姓字，身有纹龙，因以为号焉。少任侠，曾入天安。性嗜酒， 饮必醉，既醉而身变，乡人谓之疯牛焉。好宝马，扬蹄昆山；每有会意，便欣然犯禁，策马 扬鞭。是日，变道于非机动车，蹭一电车男，友下车，与之理论，不可得。龙哥怒而出，曰操，曰信球，曰不识泰山。见彼镇定如初， ​ 展开全文c
08月31日 10:32	青春上海	【高铁霸座男 轮椅上拍调侃视频】前些日子在高铁上的霸座男视频道歉后又露视频，这一次他坐在“轮椅”上，赤裸上身，让朋友推着边挥手边笑，甚至调侃热点事件：昆山砍人案中的“龙哥”给他推椅子，并说：“感谢一下滴滴”。网友认为：无耻新高度！分明是在挑衅！#霸座男坐轮椅录视频# ​ 展开全文c
08月31日 10:31	石头哥Kind	不知道昆山有没有挂“扫黑除恶”的条幅，依然感谢龙哥作出的“贡献”！ ​
08月31日 10:30	箐满兰芬	【后沙：龙哥仆街，用国际关系的角度看看】&nbsp; 2018年8月27日，农历七月十七。 黄历上写：&nbsp; 宜&nbsp; 斋醮，入殓 忌&nbsp; 动土，安床&nbsp; 在昆山混得走路带风，披金戴银的龙哥，当晚... O后沙：龙哥仆街，用国际关系的角度看看 ​
08月31日 10:29	如寄miao	#昆山龙哥#你们只关注白衣男是不是正当防卫，难道没人关注一下宝马违章变道，酒后驾车，这可是要扣分罚款的！ ​
08月31日 10:28	作家肖永乐	#昆山龙哥#扫黑除恶，必须重拳亮剑、公正司法。"砍人反被杀″案，从当时情况的视频看，电动车男出于保护自身安全需要，不得不出手自卫，应属特殊的正当防卫。司法机关将独立行使法定职权，相信法律是公正的，一定会支持特殊的安全防卫，保护公民的合法权益。 ​​​
08月31日 10:27	王大叶199605	如果昆山的龙哥当初选择在成都混，估计不会死…昨天下午，成都奔驰车撞了出租车，出租车索要700修车费，而奔驰车主只愿出500，最后划拳决定，结果出租车赢了，获赔700。 这才是和谐社会，也是我爱上成都的理由！😜 2绵阳 · 马家巷 L王大叶199605的微博视频 ​
08月31日 10:27	华韵国学教育	【昆山龙哥案件引舆论关注正当防卫 江苏检察在线：得靠逃跑】近日，昆山宝马男被反杀视频窜红互联网，引舆论关注正当防卫。昆山宝马男拿刀被反杀始末案件发生于昆三市震川路与顺帆路交叉的十字路口。一辆宝马在红灯时压过机动车道...O网页链接 ​
08月31日 10:26	一指仙人	分享网易新闻 《媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样》O媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样 来自@网易新闻客户端 #网易新闻# 。我在微博里早就说过应该完善法律细节，打黑除恶不能只唱独角戏，依靠群众发动群众，全民起来消灭黑恶。 ​
08月31日 10:26	对酒当歌168	如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ O如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ ​
08月31日 10:25	李小安0626	《昆山龙哥砍人遭反杀 如在美国“骑车男”可能会判无罪》本是几句话就可以化解的事情，却因为一股不可遏制的戾气酿成命案。O网页链接 ​
08月31日 10:24	华韵国学教育	【昆山龙哥案件引舆论关注正当防卫 江苏检察在线:得靠跑】近日，昆山宝马男被反杀视频窜红互联网，引舆论关注正当防卫。昆山宝马男拿刀被反杀始末案件发生于昆三市震川路与顺帆路交叉的十字路口。一辆宝马在红灯时压过机动车道实线，...O网页链接 ​
08月31日 10:23	1159262102_f772e8	昆山龙哥用生命帮他转移视线，它居然自己跳出来，你应该去陪龙哥！ O网页链接 ​
08月31日 10:23	姑苏舍得	【追梦老少年】全名刘海龙被告人刘海龙，农民。2001年7月因犯盗窃罪被北京市东城区人民法院判处有期徒刑 昆山龙哥, 刘海龙! 嚣张的一生(判决书曝光) O网页链接 ​
08月31日 10:22	唐生东游	原标题：锐参考 | 如果“昆山龙哥被夺刀反杀”发生在美国……参考消息网8月30日报道（文/丁扬）这两天，江苏昆山街头的一场命案，正空前搅动国内舆论。人称“龙哥”的宝马车主，在试图挥刀攻击一位电动车主时，因不慎丢刀而被后者捡刀反杀。8月29日，曾事发的街口两位当事人迥然的身份和命运，以及大反 ​ 展开全文c
08月31日 10:22	北京晨报	【高铁霸座男真坐轮椅还喊“龙哥”推车 网友：无耻新高度！】网曝，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“龙哥”给他推车，还提及了滴滴。网友：无耻！又出来作妖，还是罚太少了！#霸座男坐轮椅录视频# O网页链接 ​
08月31日 10:21	还有比取名更难的	#昆山震川路砍人# 昆山龙哥不知道有没有让黑社会的大哥们醒醒，做大哥死了都没人可怜 ​
08月31日 10:20	生活日报	【高铁霸座男真坐轮椅还喊“龙哥”推车，网友：无耻新高度！】网曝，高铁霸座男真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话昆山砍人案中的“龙哥”给他推车，还提及了滴滴。网友：无耻！又出来作妖，还是罚太少了！O网页链接 ​
08月31日 10:19	江湖百晓生520	昆山龙哥！江苏电视台法治在线及其专业律师给出分析一一电动车主属正当防卫 L江湖百晓生520的秒拍视频 ​
08月31日 10:18	烂名好难起	//分享网易新闻:《媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样》 O媒体:如果"昆山龙哥被夺刀反杀"发生在美国会怎样 @网易新闻客户端 #网易新闻# ​
08月31日 10:15	街道口小帅哥	昆山龙哥被砍死 想起了十几年前我们老家一件事 某金矿主想收购同镇另一个矿 价格没谈拢 金矿主就想找人教训他一顿 吓吓他 好让他降价 于是就找到混社会爱打架的朱某 朱某又找了3个小弟 这3个小弟去办事的时候砍错了人 还把人杀死了 金矿主一共给了5万块给朱某 结果几个人全判无期 一个人平均也就分万 ​ 展开全文c
08月31日 10:15	林中白狼	#昆山龙哥# 社会我龙哥，人狠肥肠多。来世再投胎，别惹电动车。 ​
08月31日 10:15	傻狍子傻呵呵呵	我分享了【锐参考 | 如果“昆山龙哥被夺刀反杀”发生在美国……】, 快来看吧！ | O锐参考 | 如果“昆山龙哥被夺刀反杀”发生在美国…… ​
08月31日 10:14	7uIdqxd4Iz	昆山龙哥的17年江湖人生：从小镇青年，到扑街的花臂大哥 O昆山龙哥的17年江湖人生：从小镇青年，到扑街的花臂大哥 ​
08月31日 10:13	明月助我行	昆山龙哥死得何其渺小，死得何其肮脏！但死得太好了，该死，该死！为骑车男点赞！ ​
08月31日 10:13	鱼不在海兮	#昆山龙哥被反杀# 似曾相识！ ​
08月31日 10:13	汉唐房视	关于昆山龙哥被反杀案：正当防卫定义过严是有历史原因的关于昆山龙哥被反杀案：买回家的两只螃蟹互相打架，蟹脚也打下来了，你肯定不愿意是不？不会支持任何一只😂楼主记得小时候，一有打架斗殴、欺负反抗，往往会有人重伤或死亡的，反击一般会下死手。而且那时候干架都是拿刀拿棍的，反抗者也抄起 ​ 展开全文c
08月31日 10:13	马鞍山反邪教	#高铁霸座男 轮椅#【高铁霸座男真坐轮椅还喊“龙哥”推车、感谢滴滴！网友：无耻新高度】网曝高铁霸座男孙某真的坐进轮椅拍了一段视频。视频中，霸座男子赤裸上身，坐在轮椅中笑着挥手，不仅喊话#昆山砍人事件#中的“龙哥”给他推车，还提及了#滴滴顺风车事件#。网友：无耻！又出来作妖，还是罚太 ​ 展开全文c
08月31日 10:12	牧者的乞行修炼	都在聊“昆山龙哥”，致敬这位为祖国“搞笑”事业无私奉献生命的人，听最多的就是一个关于“在中国……”的理论，我也想说几句，别说在中国，在哪里，法治都是一个一直追求的了社会状态，西方国家是什么鬼，“独立检察官”这东西很屌，可有没想过，这些个被称为无私公正的人，就真的公正吗?这世界 就没 ​ 展开全文c
08月31日 10:12	瑾以修身	我分享了【锐参考 | 如果“昆山龙哥被夺刀反杀”发生在美国……】, 快来看吧！ | O锐参考 | 如果“昆山龙哥被夺刀反杀”发生在美国…… ​
08月31日 10:12	天真小pi孩6478883537	龙哥以为白衣哥是个青铜，没有想到是个王者。退伍军人，并且是特种兵。@昆山 2信阳 · 十三里桥乡 ​
08月31日 10:12	晋州点点	发布了头条文章：《​ 昆山龙哥、电瓶男、顺风车，背后的标签到底是什么？》 O​ 昆山龙哥、电瓶男、顺风车，背后的标签到底是什么？ ​
08月31日 10:11	华夏1943	昆山龙哥被反杀的新闻在网上发酵了几天。作为吃瓜群众的我心态已经过了几番变化。（注：现在的网络环境连我这样的屁民都易遭受语言暴力，可还是忍不住“高谈阔论”。无论观点多么“奇葩”、“反社会”，也是个人的真实想法。只为自己抒发，不想与人争辩讨论。）最开始看到新闻时，同样是真戏剧，快 ​ 展开全文c
08月31日 10:11	荣振斌	如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ O如果“昆山龙哥被夺刀反杀”发生在美国 会怎样？ ​
08月31日 10:09	用户6671104505	#腾讯新闻# 如果“昆山龙哥被夺刀反杀”发生在美国 事件走向如何？O如果“昆山龙哥被夺刀反杀”发生在美国 事件走向如何？ 来自@腾讯新闻客户端 ​
08月31日 10:09	宝庆头条	如果“昆山龙哥被夺刀反杀”发生在美国…… O如果“昆山龙哥被夺刀反杀”发生在美国…… ​
08月31日 10:09	佛系养生少女020	#昆山龙哥#有没有人深挖一下这位龙哥的背景？听说当时下车的几个人中有一个编外警察 ​
08月31日 10:08	无限髪则	#昆山震川路砍人# 一网友爆料#昆山龙哥# 龙哥生前是个体面人！ O网页链接 ​
08月31日 10:08	一手财经666	#昆山龙哥砍人不成反被砍# 一个见义勇为的耿直大好青年，就因为喝了点小酒冲动了点打了人，却被连砍十几刀刀刀致命残忍杀害，肠子都流了出来！这还有天理吗？请依法严惩凶手！ ​
08月31日 10:07	雅杰的空间	北京的这位检察官客观公正有正义，如按照她的想法判决电动车男无罪，这将大大震慑不法之徒的嚣张气焰，让中国人不再一味退让，让国人有尊严，也让国人有捍卫尊严权利，像刘海龙这样的人渣成为过街老鼠，昆山的公检法对此事事件负有不可推卸的责任，其中不乏有其保护伞，应该借打击黑恶势力及其保护伞进 ​ 展开全文c
08月31日 10:06	抒秋518	后沙：龙哥仆街，用国际关系的角度看看： 2018年8月27日，农历七月十七。 黄历上写： 宜 斋醮，入殓 忌 动土，安床 在昆山混得走路带风，披金戴银的龙哥，当晚在震川路街口一不小心把刀给掉地上...文字版>> O网页链接 （新浪长微博>> O发现一张好图，大家快来看看~） ​
