2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年01月07日 22:04	带壳虫	兰考的一场大火已经伤透了袁厉害袁妈妈的心，。有些人真的是站着说话不腰疼在此时此刻这种有资格说话的人更关注的不是怎样呼吁更多人的帮助而是去抓别人的痛处往伤口撒盐。冠冕堂皇的说着不痛不痒的”I think”这种人真的就是基本的道德缺失，冷酷残忍@闲在家的堆堆 @弦愤愤 我在:2汇东路 ​
2013年01月07日 22:04	夏--伊	对于#袁厉害#，我觉得她是善良的，其实善良每个人也都有，但能做到这份上，真的不简单，这样的女人一生也是不容易， ​
2013年01月07日 22:04	秋实hy	袁厉害,用自己坚定的信念，拯救一个民族的仅存的希望，这是感动中国的人物，这是中华民族真正的脊梁。她的思想是朴素的，行动是平实的。她的行为，足以让这个国家汗颜O兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事_资讯频道_凤凰网 （分享自 @） ​
2013年01月07日 22:04	李赛林LOVED	袁厉害，20多年收养100多位弃婴，曾经的爱心妈妈成为如今的事故责任人。兰考：一场大火烧出了什么？法理与情理、民意再次在不完善的社会制度环境下针锋相对。“以人为本”怎么体现，或者，如何自圆其说？ ​
2013年01月07日 22:04	诱惑的缔造者	袁厉害很伤心，这一生。 ​
2013年01月07日 22:03	出音不张嘴	没有袁厉害，这些孤儿也许早就丧命，在有爱心，有善心的大前提下，等待法律裁决吧！ ​
2013年01月07日 22:03	哥哥喜欢耍	袁厉害事件，本质就是政府部门不作为！不要拿法律说事，那根本就不是事儿。那只是强势的争辩，如何曲解都不能改变事实。央视还是不错，敢捅！ ​
2013年01月07日 22:03	前台号一哥	【兰考曾花两千万建财税中心 无福利院理由不成立 网易新闻】核心提示：1月4日早上8时许，河南兰考“爱心妈妈”袁厉害孤儿收养所发生火灾致7死1伤。目前，袁厉害是否“入刑”问题成为社会关注的焦点。河南兰考县如今没有... O兰考曾花2千万元建财税中心 称先不考虑建福利院_网易新闻中心 ​
2013年01月07日 22:02	赣县_费谷子	【挺新华社！没人有资格对袁厉害说三道四】体制性缺陷会永远存在，在制度不健全的情况下，更需要“人”来补缺。批着外表颐指气使容易，身体力行却相当不容易。我们谁都没资格对袁厉害说三道四。O网页链接 . ​
2013年01月07日 22:02	泪有光泽	【兰考曾花两千万建财税中心 无福利院理由不成立 网易新闻】核心提示：1月4日早上8时许，河南兰考“爱心妈妈”袁厉害孤儿收养所发生火灾致7死1伤。目前，袁厉害是否“入刑”问题成为社会关注的焦点。河南兰考县如今没有... O兰考曾花2千万元建财税中心 称先不考虑建福利院_网易新闻中心 ​
2013年01月07日 22:02	闻香识佳人2013	袁厉害有什么罪？凭什么关押她？该判刑的是民政部门.老百姓拿钱养他却不干正事.出事了就跳出来指手画脚！卑视！！！ 我在:2富强街 ​
2013年01月07日 22:02	持烛燃鬓	发表了博文 《袁厉害——一个闪烁伟大母爱光辉的女人》 - 袁厉害——一个闪烁伟大母爱光辉的女人 持烛老毛病又犯了，本来不想关注社会上、政治上的烂事，可隐忍不住，想骂大街。 河南兰考百姓袁厉害一 O袁厉害——一个闪烁伟... ​
2013年01月07日 22:02	roche188	兰考一把火烧出了各种心态。在舆论谴责下，官员最终认错了。早期谴责袁厉害的人，也自觉惭愧了。社会上有多少人能像袁一样用毕生去抚养孤儿。在大火之前，如此条件，如此困难，没有官员在乎，没有舆论关注，袁妈妈什么也不图，谁还有资格去责备她。 ​
2013年01月07日 22:02	浩纳坦然	袁厉害，你才是当之无愧的“感动中国”！ 我在:2西环路 ​
2013年01月07日 22:02	巨邦智库	【人民日报：假如焦裕禄遇到袁厉害】假如焦裕禄遇到袁厉害，对于她的爱心善行，固然可能赞许，但一个成熟的领导干部，或许更会从自身社会管理的水平反思问题。如果一个并不宽裕的家庭能收养100多个弃婴和孤儿，为何社会管理者承担不起抚养的责任? O网页链接 ​
2013年01月07日 22:02	人生不过如齿	河南兰考：袁厉害收养弃婴 当地政府默许 O河南兰考：袁厉害收养弃婴 当地政府默许 （分享自 @56网）头顶乌纱说胡话、脚踏官运嘴拔虾、母拾弃子君无视、火埋亡童自评佳！ ​
2013年01月07日 22:01	随意瞎搞	那么政府不作为应该判什么刑？《学者称袁厉害或获刑3-7年》O学者称袁厉害或获刑3-7年-手机凤凰网 ​
2013年01月07日 22:01	浩纳坦然	袁厉害，你才是当之无愧的“感动中国”！ 我在:2世纪大道 ​
2013年01月07日 22:01	万善之本333	一个袁厉害一一个朴实而善良的伟大母亲，几年来收病残儿童一百多个，兰考的官员们，是我们纳税人在养活你们，你们还有脸生活下去吗?马上集体辞职吧! ​
2013年01月07日 22:01	融-金	【新华网：兰考火灾事故通报相当程度成为领导功劳簿】说到袁厉害收养弃婴这个要害，通报难觅当地政府对残弃儿的责任担当，却历数自愿献爱心二十多年的公民袁厉害的三个不符合收养条件。公民知其不可为而为之，政府倒像旁观者了。O新华网：兰考火灾事故通报相当程度成为领导功劳簿_资讯频道_凤凰网 ​
2013年01月07日 22:01	人生不过如齿	河南兰考 袁厉害：“就想让孩子能活命”最高面临7年刑责 O河南兰考 袁厉害：“就想让孩子能活命”最高面临7年刑责 （分享自 @56网）头顶乌纱说胡话、脚踏官运嘴拔虾、母拾弃子君无视、火埋亡童自评佳！ ​
2013年01月07日 22:01	冬帅帅帅	对爱心妈妈袁厉害的判决时间与儿慈会账目公开，与房叔判决（或许不会判决），与房妹的爹地判决（或许也不会判决）到底谁来得更快？雷区长及兰州某书记正在偷笑…… ​
2013年01月07日 22:00	许萧	【没人有资格对袁厉害说三道四】O网页链接 (分享自 @今日头条) ​
2013年01月07日 22:00	随说说	如果没有袁厉害，可能这七个孩子乃至更多的被遗弃的孩子早就不在人世了。这样的话，责任在谁？又该追究谁？ ​
2013年01月07日 22:00	许萧	批着外表颐指气使容易，身体 力行却相当不容易。我们谁都没资 格对袁厉害说三道四。 ​
2013年01月07日 22:00	行云在天A	袁厉害25年收养超过100个孩子。当地领导干部坦承袁厉害“不完全具备收养条件”。悲剧出来后有人说袁厉害的收养行为不合法。是的，她的收养行为是“不合法”，她确实存在“不完全具备收养条件”。但是，她的行为是可敬的，而当地有关部门在这几十年里表现出的麻木和不作为，是可怕的，可悲的，可耻的。 ​
2013年01月07日 22:00	牵手七十年	兰考火灾七名弃婴之死真的要袁厉害一个人担当吗？如果当年袁厉害不是好心收养一百多弃婴，恐怕死的不只是七个吧！我们的政府这些年是否缺位了呢？ ​
2013年01月08日 00:59	kfwen79	新华网:谁都没资格指责袁厉害，说得好。问题是中国就这几个孤儿吗，其他过得怎样？ O新华网：谁都没资格对袁厉害说三道四（分享自@凤凰客户端） ​
2013年01月08日 00:56	辛村	新华社：没人有资格对袁厉害说三道四：新华网南京1月7日电（记者 朱旭东）4日发生在河南兰考的一把大火，吞噬了7条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉... O网页链接 （使用新浪长微博工具发布 O发现一张好图，大家快来看看~） ​
2013年01月08日 00:54	louiswy	看客不知道情况别瞎一轮 //【没人有资格对袁厉害说三道四】O网页链接 (分享自 @今日头条) ​
2013年01月08日 00:53	君临天下-LiRongjun	调查称95%网民认为袁厉害不涉非法收养O凤凰网民调：95%网民称袁厉害不涉非法收养-手机凤凰网 点击页面跳转后选择 ‘直接访问互联网页’ 即可收看视频。 ​
2013年01月08日 00:51	卓越2481165763	兰考公布袁厉害家庭低保名单 记者发现，这次火灾事故中的死伤者均未享受过低保。 O网页链接 @搜狐新闻客户端 ​
2013年01月08日 00:51	搜索郑州王国顺	【新华社：没人有资格对袁厉害说三道四】4日发生在河南兰考的一把大火，吞噬了7条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉害泼脏水，甚至还有人有单位借机表现。记者认为，没人有资格对袁厉害说三道四，否则只会让自己更渺小。O网页链接 ​
2013年01月08日 00:51	司马冰汀	发表了博文 《兰考曾花2000万建财税中心 福利院不在优先考虑之列》 - 正在看第1段 共3段 河南兰考火灾中幸存孤儿已被送至当地救助站 兰考副县长：曾默许袁厉害收养弃儿行为 河南兰考：袁厉害身边又现 O兰考曾花2000万建... ​
2013年01月08日 00:50	风消失在云端	新华网：4日发生在河南兰考的一把大火，吞噬了7条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉害泼脏水，甚至还有人有单位借机表现。记者认为，没人有资格对袁厉害说三道四，否则只会让自己更渺小。 ​
2013年01月08日 00:49	卓越2481165763	袁厉害或将因火灾事故获刑 专家称最高可能获刑七年，且其善举并不能免除她应承担的刑责。 O网页链接 @搜狐新闻客户端 ​
2013年01月08日 00:49	溪山行旅86	新华社：没人有资格对袁厉害说三道四！说真话了。 ​
2013年01月08日 00:45	敏少1212	【兰考曾花2千万元建财税中心 称先不考虑建福利院 】1月4日早上8时许，河南兰考“爱心妈妈”袁厉害孤儿收养所发生火灾致7死1伤。目前，袁厉害是否“入刑”问题成为社会关注的焦点。河南兰考县如今没有一座儿童福利院，但县财政局曾自筹2000万元，建设了兰考县财税服务中心。 O兰考曾花2千万元建财税中心 称先不考虑建福利院_网易新闻中心 ​
2013年01月08日 00:43	全子的小家	转起 //【没人有资格对袁厉害说三道四】O网页链接 (分享自 @今日头条) ​
2013年01月08日 00:42	傻傻是一只掉到水里的鱼	【专家：过失致人死亡 袁厉害功不可抵罪】20多年 收养100多个孩子，从情理上，人们肯定她的善举。 然而，也有专家认为，法理不可罔顾：从刑事法律的 角度，一旦收养这些孩子，就要承担保护孩子人身安 全的法律义务。在此次火灾中，袁厉害应该是构成了 过失致人死亡的犯罪。寒心！ 2宜昌·宜昌市中心人民医院 ​
2013年01月08日 00:41	xxx伯	#新华分享#没人有资格对袁厉害说三道四---新华社南京１月７日专电题：没人有资格对袁厉害说三道四 　　新华社记者朱旭东　　４日发生在河南兰考的一把大火，吞噬了７条可怜的小生命，烧出了世间百态、人间炎凉。 O没人有资格对袁厉害说三道四 - 新华时政 - 新华网 ​
2013年01月08日 00:41	2011杨岳	新华网：谁都没资格对袁厉害说三道四O新华网：谁都没资格对袁厉害说三道四_资讯频道_凤凰网分享自凤凰新闻HD ​
2013年01月08日 00:41	阿基米德的锅炉灰	该遭到质疑的是兰考县政府以及福利机构！#新华分享#没人有资格对袁厉害说三道四---新华社南京１月７日专电题：没人有资格对袁厉害说三道四 　　新华社记者朱旭东　　４日发生在河南兰考的一把大火，吞噬了７条可怜的小生命，烧出了世间百态、人间炎凉。 O没人有资格对袁厉害说三道四 - 地方联播 - 新华网 ​
2013年01月08日 00:36	雨诺爱上雨	【兰考曾花2000万建财税中心 福利院不在优先考虑之列】在袁厉害是否“入刑”问题，成为社会焦点的背后，就是颇受非议的兰考县政府。时至今日，当地没有一座儿童福利院，更谈不上法律保障和基本设施。 O兰考曾花2000万建财税中心 福利院不在优先考虑之列_资讯频道_凤凰网 （分享自 @） ​
2013年01月08日 00:35	耳东之刃	不知道记者这条新闻想证明什么？袁大姐骗低保吗？<br/>或是反证什么？<br/>但不管什么，如果给你二三十个弃婴，然后给你几百块低保，你有勇气养嘛？ 【兰考袁厉害家庭8名死伤者均未享受过低保】原文O兰考公布袁厉害收养弃婴低保名单 死伤者均不在列 评论O网页链接 ​
2013年01月08日 00:34	游离态Since1987	袁厉害事件告诉我们一个道理“好人在中国永远没好报” ​
2013年01月08日 00:33	广东梅州黄晓华	#O网页链接#1月4日，河南兰考人袁厉害的弃儿收养所起火，造成7名孩童死亡。兰考政府承认对负不可推卸责任，但表示袁厉害的经济能力不足以收养这么多孩子，有安全隐患。学者称袁厉害可能会因过失致人死亡领刑7年。@今日话题 ​
2013年01月08日 00:33	泉州微闻联播	【专家：过失致人死亡 袁厉害功不可抵罪】20多年收养100多个孩子，从情理上，人们肯定她的善举。然而，也有专家认为，法理不可罔顾：从刑事法律的角度，一旦收养这些孩子，就要承担保护孩子人身安全的法律义务。在此次火灾中，袁厉害应该是构成了过失致人死亡的犯罪。O[新闻1+1]专家：袁厉害功不可抵罪 或判三年缓刑 ​
2013年01月08日 00:33	薄纸张	兰考县的官员要立功了，请新华社出来炮轰兰考县官员！ //【综述：袁厉害“入刑”问题成为焦点的背后】O网页链接 (分享自 @今日头条) ​
2013年01月08日 00:33	活力的沙漠胡杨	【兰考公布袁厉害家庭低保名单】看看民政局的公仆们是怎么样为人民服务的?请纪检部门尽快介入，以渎职罪追究民政局和当地政府负责人! O网页链接 (@掌中新浪 ) ​
2013年01月08日 00:31	广西陈家峰	新华网：地方政府部门没资格对袁厉害说三道四 O新华网：地方政府部门没资格对袁厉害说三道四_新闻_腾讯网 ​
2013年01月08日 00:31	我爱小冬子	国内的兄弟姐妹，又没有知道一些消息的，帮我个忙好不好。 前一段时间看到袁厉害收养弃婴的事情，我很感触，不知道怎么能帮到那些可怜的孩子，今天我跟加拿大international adoption 机构联系上了，他们说这便有很多很多的家庭愿意收养孩子，只是他们没有孩子的来源， ​
2013年01月08日 00:30	广西陈家峰	兰考袁厉害家庭8名死伤者均未享受过低保 O兰考袁厉害家庭8名死伤者均未享受过低保_新闻_腾讯网 ​
2013年01月08日 00:30	釒子浩小朋友	新华网：谁都没资格对袁厉害说三道四 O新华网：谁都没资格对袁厉害说三道四-手机凤凰网（分享自@凤凰客户端） ​
2013年01月08日 00:30	pccat2012	新华网:没人有资格对袁厉害说三道四 O新华网:没人有资格对袁厉害说三道四 （分享自 @头条新闻） ​
2013年01月08日 00:29	法人人法	《儿童福利法》欧美百年前建立，日本1948年建立，而中国到现在没有立法的计划。袁厉害的七名儿童死亡，国家首先忙着给她定罪。而无耻的执政者的原罪呢？ ​
2013年01月08日 00:27	中华琉球族回归筹委会	【兰考曾花2000万建财税中心 福利院不在优先考虑之列】在袁厉害是否“入刑”问题，成为社会焦点的背后，就是颇受非议的兰考县政府。时至今日，当地没有一座儿童福利院，更谈不上法律保障和基本设施。 O兰考曾花2000万建财税中心 福利院不在优先考虑之列_资讯频道_凤凰网 （分享自 @） ​
2013年01月08日 00:26	回溯梦-南	若处置袁厉害是我们这个社会的耻辱 - O网页链接 ​
2013年01月08日 00:26	南南帕子	出事了，就来指责袁厉害的“民办收养所”违法，没有收养资格。靠收养弃婴牟利的传言也出来了。那合法的、有资格的官办收养所又在哪儿呢？地方政府有钱盖办公大楼，就没钱盖福利院？现在民办收养所被大火烧了，以后再有弃婴又送到哪里去，是否还会有新的民办收养所冒出来呢？@星期柒新闻周刊 ​
2013年01月08日 00:25	艾欧哈体客	袁厉害，一位可亲可敬爱心妈妈。一场火灾将这位爱心妈妈推入了舆论的漩涡中。我不管别人怎么评价这位爱心妈妈，我只知道她养活了几十个被抛弃的孩子，并且是含辛茹苦的。那些对这位爱心妈妈的攻击言论，我不知道你们是什么心态！还有政府本应尽的责任没有真正做到，有何脸面争功！ ​
2013年01月08日 00:25	天客联盟	是的，没人有资格！ 《新华社：没人有资格对袁厉害说三道四》 (来自 @手机搜狐) O网页链接 ​
2013年01月08日 00:24	十二色夜	袁厉害非法收养？ ​
2013年01月08日 00:24	洋芋艿和洋葱	政府机关没资格数落袁厉害，草 ​
2013年01月08日 00:24	鵺镱	【没人有资格对袁厉害说三道四】O网页链接 (分享自 @今日头条) ​
2013年01月08日 00:24	Crazy_Picasso喜欢吃火锅	新华社：没人有资格对袁厉害说三道四 O网页链接（手机QQ浏览器 精品阅读） 我在:2东京大道 ​
2013年01月08日 00:23	莫邦富微博	就7个孩子被烧死事故，中国政法大学教授洪道德认为，袁厉害负有保证人身安全义务，有可能被追究过失致人死亡罪，处三年以上七年以下有期徒刑。网民问：这位专家为何不追究政府部门的责任？郑州房妹有29套住房，收养弃婴条件具备，为啥不见她们来收养弃婴？新华社好文章：没人有资格对袁厉害说三道四！ ​
2013年01月08日 00:22	赵小胖-思密达	通过袁厉害的问题，我想到，有些事情本来是ZF该做的但没有去做，更恶劣的是，ZF说，我不做，别人也不许做！ 我在:2森工路 ​
2013年01月08日 00:21	二东啊	新华社:没人有资格指责袁厉害 孩子的家长没资格，地方政府部门没资格，诸位看客没资格。 O网页链接 @搜狐新闻客户端 ​
2013年01月08日 00:21	麦田----123	【兰考曾花2000万建财税中心 福利院不在优先考虑之列】在袁厉害是否“入刑”问题，成为社会焦点的背后，就是颇受非议的兰考县政府。时至今日，当地没有一座儿童福利院，更谈不上法律保障和基本设施。 O兰考曾花2000万建财税中心 福利院不在优先考虑之列_资讯频道_凤凰网 （分享自 @） ​
2013年01月08日 00:21	金汇救援-杨俊辉	【没人有资格对袁厉害说三道四】O网页链接 (分享自 @今日头条) ​
2013年01月08日 00:20	区块链东家	【新华网：谁都没资格对袁厉害说三道四】新华网南京１月７日电（记者 朱旭东）４日发生在河南兰考的一把大火，吞噬了７条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉害泼脏水，甚至还有人有单位借机表 O新华网：谁都没资格对袁厉害说三道四_资讯频道_凤凰网 ​
2013年01月08日 00:20	李从国博士	任何事都要讲关系，没有关系，什么福利也享不到。连如此的极弱群体的低保，国家政策规定必须给的，由于没有关系，就不给你。小处见大，一叶看乾坤。我们的制度该反思了。 【兰考袁厉害家庭8名死伤者均未享受过低保】原文O兰考公布袁厉害收养弃婴低保名单 死伤者均不在列 评论O网页链接 ​
2013年01月08日 00:19	罗素门徒	新华网：谁都没资格对袁厉害说三道四 O新华网：谁都没资格对袁厉害说三道四 ​
2013年01月08日 00:19	钟I一生_恒	[新华社：没人有资格对袁厉害说三道四] ４日发生在河南兰考的一把大火，吞噬了７条可怜的生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人对袁厉害泼脏水，甚至有人有单位借机表现。记者认为，没人有资格对袁厉害说三道四，否则只会让自己更渺小。咱们都没袁厉害高尚。O没人有资格对袁厉害说三道四 - 新华时政 - 新华网 ​
2013年01月08日 00:18	宋凭栏-文学	新华网：谁都没资格对袁厉害说三道四-O网页链接 ​
2013年01月08日 00:17	石家庄老钱	通过这起惨案，要好好想想儿童福利体制性缺陷，尽快确立儿童福利的概念。体制性缺陷会永远存在，在制度不健全的情况下，更需要“人”来补缺。所以，我们首先要反思自己的良心我们会像袁厉害那样做吗？就像当初小悦悦被碾压时，我们会像拾荒阿婆陈贤妹那样做吗？ ​
2013年01月08日 00:17	hz骆驼	新华网：地方政府部门没资格对袁厉害说三道四 O新华网：地方政府部门没资格对袁厉害说三道四_新闻_腾讯网 ​
2013年01月08日 00:17	孙宗林	新华网:谁都没资格指责袁厉害 O新华网：谁都没资格对袁厉害说三道四（分享自@凤凰客户端） ​
2013年01月08日 00:17	有家有爱懂生活	我们唯一能做的，就是深刻反思。通过这起惨案，要好好想想儿童福利体制性缺陷，尽快确立儿童福利的概念。体制性缺陷会永远存在，在制度不健全的情况下，更需要“人”来补缺。所以，我们首先要反思自己的良心我们会像袁厉害那样做吗？就像当初小悦悦被碾压时，我们会像拾荒阿婆陈贤妹那样做吗？ ​
2013年01月08日 00:15	有家有爱懂生活	再次，诸位看客没资格。网络上对袁厉害的种种指责层出不穷，记者也一时不知从何说起。然而在兰考县城，袁厉害却拥有极佳的口碑。县城的居民并不觉得袁厉害做错，甚至认为，把孩子送到袁厉害那里，比送给福利院和救助站更靠谱。咱们都没袁厉害高尚 ​
2013年01月08日 00:15	伊拉克坦克	说得好！//新华网:谁都没资格指责袁厉害 O新华网：谁都没资格对袁厉害说三道四（分享自@凤凰客户端） ​
2013年01月08日 00:14	奔奔笨笨本本	有些公知整天谈这谈那，丝毫没震慑当权者，没撼动现行体制，还不如那些扫街的环卫工，盖楼的建筑工，还不如袁厉害这样大智若愚的人做的实际 ​
2013年01月08日 00:14	Richy_Liu	坏人当道！好人难做！ 袁厉害或面临刑罚 朋友为其鸣不平-@观察者网 O袁厉害或面临刑罚 朋友为其鸣不平-观察者网 ​
2013年01月08日 00:13	XRJ001	“新华社：没人有资格对袁厉害说三道四”，鼓掌，终有雷霆震寰宇。好几天了，比火灾更浓的硝烟象乌云在媒体肆谑，各色嘴脸尽情展露，黑白颠倒，自由啊就这样戏耍善良的心灵。 ​
2013年01月08日 00:13	有家有爱懂生活	首先，孩子的家长没资格。这些孩子，原本是有父母的。狠心的父母抛弃了他们，把他们留在冰冷的街头，或者推诿给袁厉害。于是，这些孩子只能拥有一个共同的袁妈妈。日子尽管过得艰难，但他们很多人毕竟活下来了。尽管不幸的7位孩子火中殒命，他们的生身父母，谁能有资格来指责袁厉害？ ​
2013年01月08日 00:12	有家有爱懂生活	新华网南京1月7日电（记者 朱旭东）4日发生在河南兰考的一把大火，吞噬了7条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉害泼脏水，甚至还有人有单位借机表现。记者认为，没人有资格对袁厉害说三道四，否则只会让自己更渺小。 ​
2013年01月08日 00:12	风的2012	【袁厉害苏醒后哭喊着“我的儿啊” 近百记者围堵】本报记者周喜丰河南 兰考报道 1月6日下午2时30分，昏睡中的袁厉害醒过来，哭喊着“我的儿啊”，身边亲友动容，泪如雨下。 O袁厉害苏醒后哭喊着“我的儿啊” 近百记者围堵_资讯频道_凤凰网 （分享自 @） ​
2013年01月08日 00:12	有家有爱懂生活	新华社：没人有资格对袁厉害说三道四 ​
2013年01月08日 00:12	郑义组织力	人经常会觉得自己挺厉害，你觉得你很厉害，你有袁厉害厉害吗？一个农村妇女，能收养上百名孤儿，原来确实很厉害。 ​
2013年01月08日 00:11	石家庄老钱	首先，孩子的家长没资格。这些孩子，原本是有父母的。狠心的父母抛弃了他们，把他们留在冰冷的街头，或推诿给袁厉害。于是，这些孩子只能拥有一个共同的袁妈妈。日子尽管过得艰难，但他们很多人毕竟活下来了。尽管不幸的7位孩子火中殒命，他们的生身父母，谁能有资格来指责袁厉害？ ​
2013年01月08日 00:11	韩鹏飞Patrick	新华社:没人有资格指责袁厉害 孩子的家长没资格，地方政府部门没资格，诸位看客没资格。 O网页链接 @搜狐新闻客户端，支持! ​
2013年01月08日 00:10	我是佳洁士不是牙膏千万别忘了	新华网:谁都没资格指责袁厉害 O新华网：谁都没资格对袁厉害说三道四（分享自@凤凰客户端） ​
2013年01月08日 00:10	grailpisces	命若垃圾 像一把尖刀直刺入心脏！ 五个弃婴躺在草垫子和脏被褥铺就的床上，有的在玩耍，有的仍在昏睡，床头的蜂窝煤垒得很高，一不小心就会被碰到床上。这是在河南兰考县人袁厉害的一个 O命若垃圾 像一把尖刀直刺入心脏！ 五个弃婴躺在草垫子和脏被褥铺就的床上，有的在玩耍，有的仍在昏睡，床头的蜂窝煤垒得很高，一不小心就会被碰到床上。这是在河南兰考县人袁厉害的一个 ​
2013年01月08日 00:09	石家庄老钱	4日发生在河南兰考的一把大火，吞噬了7条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉害泼脏水，甚至还有人有单位借机表现。其实广大群众认为，谁也没人有资格对袁厉害说三道四，否则只能说明他自己更渺小。 ​
2013年01月08日 00:09	有时突然会想我在哪儿	新华社：没人有资格对袁厉害说三道四 O网页链接 (手机QQ浏览器) ​
2013年01月08日 00:08	桂詠评-上海	【兰考曾花2000万建财税中心 福利院不在优先考虑之列】在袁厉害是否“入刑”问题，成为社会焦点的背后，就是颇受非议的兰考县政府。时至今日，当地没有一座儿童福利院，更谈不上法律保障和基本设施。 O兰考曾花2000万建财税中心 福利院不在优先考虑之列_资讯频道_凤凰网 （分享自 @） ​
2013年01月08日 00:07	浪浊混沌	求求你们不要在恬不知耻的说袁厉害靠孩子低保吃饭卖孩子赚钱，难道你不让她非法收养那些弃婴，让那些可怜的孩子饿死吗，你办理一个户口和低保要让那些贱民对你们感恩戴德吗，你有种收养10天试试，从那残存的人性里积点阴德吧，不要让寡廉鲜耻总挂在你们官员的头上@御史在途 @纪许光 @泊香 ​
2013年01月08日 00:06	宅爸_Ike	怒啊!!! 学者称袁厉害或因过失致人死亡领刑7年 -新闻频道-和讯网 O学者称袁厉害或因过失致人死亡领刑7年 -新闻频道-和讯网 ​
2013年01月08日 00:03	香山君	【兰考曾花2000万建财税中心 福利院不在优先考虑之列】在袁厉害是否“入刑”问题，成为社会焦点的背后，就是颇受非议的兰考县政府。时至今日，当地没有一座儿童福利院，更谈不上法律保障和基本设施。 O兰考曾花2000万建财税中心 福利院不在优先考虑之列_资讯频道_凤凰网 （分享自 @） ​
2013年01月08日 00:03	精达五金	让对袁厉害说三道四的人闭嘴！ #新华分享#没人有资格对袁厉害说三道四---新华社南京１月７日专电题：没人有资格对袁厉害说三道四 　　新华社记者朱旭东　　４日发生在河南兰考的一把大火，吞噬了７条可怜的小生命，烧出了世间百态、人间炎凉。 O没人有资格对袁厉害说三道四 - 新华时政 - 新华网 @mark ​
2013年01月08日 00:03	王欣彤	中国网：愿兰考这把火，烧醒装睡的收养制 如果没有袁厉害，河南兰考会有多少弃儿陷入更加万劫不复的悲催境地？这个数字没法统计，因为这种情况没法假设。世上尚无从“如果”二字，推导出真实…… O网页链接 @搜狐新闻客户端 ​
2013年01月08日 00:03	Ian玴恩	小五 小雨 傻妞 扎根 小哑巴 男婴甲 男婴乙 纪念一下吧！来到这世界是爱心妈妈袁厉害收养了你们，虽然没有留下你们，但我相信她是真心的。再发自内心的问候一下当地政府，操你他妈十八代祖宗，你能再无耻一点吗？ ​
2013年01月08日 00:03	时代酔潮人	今天看甘肃卫视《坚持》之《四十个春秋》，感触良多。节目讲述的是一个85岁的老人李维章坚持记日记40年的故事，故事很平凡没错，但里面的力量却令人动容。又想到兰考事件中的袁厉害，想到所有坚持住自己的理想和信念的人，向你们致敬。 ​
2013年01月08日 00:03	央视新闻	【兰考大火烧出了什么？】这名憨实善良的村妇被大火逼退到世界的角落，现在她仍躺在病床上。她曾愤愤地说，“我要是卖小孩枪毙我”；家人无奈“她只管孤儿不管孙子”；邻居不解“上头说她这样不中，为啥不给她支援”；不少民间组织担忧“怕成为下个袁厉害”。兰考火灾过后，我们还在期待政府的暖心话。 ​
2013年01月08日 00:02	moggy520000	新华网：谁都没资格对袁厉害说三道四O新华网：谁都没资格对袁厉害说三道四_资讯频道_凤凰网分享自凤凰新闻HD ​
2013年01月08日 00:02	星火燎毛	看了对袁厉害的报道，一个普通老百姓做了一个政府职能部门该做的事，这是多大的一个讽刺？我国儿童救助缺立法，落后于发达国家美国等也就不说什么了，甚至落后于很多发展中国家，这就说不过去了。我们不是自称发展中国家的龙头老大吗！经济世界强国，怎么可能会缺资金？@袁裕来律师 @于建嵘 ​
2013年01月08日 00:00	moggy520000	兰考公布袁厉害收养弃婴低保名单 死伤者均未享受低保O【兰考公布袁厉害收养弃婴低保名单 8名死伤者均不在列】中新网开封1月7电(记者 齐永)备受关注的河南兰考“爱心妈妈”袁厉害收养弃婴的住所发生火灾事故后的第四天，兰考县民政局于7日下午公布袁厉害家庭享受低保名单。但记者发现，这次事故中的8名死伤分享自凤凰新闻HD ​
2013年01月08日 02:58	石述思	2012年12月14日，河南省光山县发生校园惨案，22名小学生被无辜砍伤，当地官员冷漠以对；2013年1月4日河南兰考的一把大火，吞噬了7条可怜的小生命，官员中竟有人向收养这些孤儿的袁厉害泼脏水；2013年1月7日下午，河南省光山县南向店乡天灯小学4名小学生在上学路上溺水身亡。——再唤良知，救救孩子。 ​
2013年01月08日 02:57	Hello海东	兰考事件，没有任何人有资格对袁厉害说三道四！ ​
2013年01月08日 02:56	雨夜的个人	【新华网：谁都没资格对袁厉害说三道四】新华网南京１月７日电（记者 朱旭东）４日发生在河南兰考的一把大火，吞噬了７条可怜的小生命，烧出了世间百态、人间炎凉。有人想办法推卸责任，有人想对袁厉害泼脏水，甚至还有人有单位借机表 O新华网：谁都没资格对袁厉害说三道四_资讯频道_凤凰网 （分享自 @） ​
